id,name,position,shirt_number,team_id,team_side,substitute,captain,total_pass,accurate_pass,total_long_balls,accurate_long_balls,goal_assist,good_high_claim,saved_shots_from_inside_the_box,saves,minutes_played,touches,rating,possession_lost_ctrl,rating_original,rating_alternative,goals_prevented,match_id,total_cross,accurate_cross,aerial_lost,duel_lost,duel_won,dispossessed,on_target_scoring_attempt,goals,total_clearance,outfielder_block,interception_won,total_tackle,fouls,expected_goals,expected_assists,aerial_won,was_fouled,shot_off_target,challenge_lost,total_contest,won_contest,big_chance_created,clearance_off_line,key_pass,error_lead_to_a_shot,big_chance_missed,penalty_miss,blocked_scoring_attempt,penalty_save,punches,penalty_conceded,total_offside,total_keeper_sweeper,accurate_keeper_sweeper,hit_woodwork,last_man_tackle,own_goals,penalty_won,error_lead_to_a_goal
1397756,Tommaso Martinelli,G,30,2693,away,True,False,,,,,,,,,,,,,,,,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416136,Leonardo Baroncelli,D,27,2782,away,True,False,,,,,,,,,,,,,,,,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962029,Lucas Beltrán,F,9,2693,away,True,False,,,,,,,,,,,,,,,,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086992,Gino Infantino,M,19,2693,away,True,False,,,,,,,,,,,,,,,,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121333,Amir Richardson,M,24,2693,away,True,False,,,,,,,,,,,,,,,,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526934,Niccolò Fortini,M,17,2693,away,True,False,,,,,,,,,,,,,,,,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357598,Josip Brekalo,M,77,2693,away,True,False,,,,,,,,,,,,,,,,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330705,Antonín Barák,M,72,2693,away,True,False,,,,,,,,,,,,,,,,12499262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925285,Devis Vásquez,G,23,2702,home,False,False,17.0,7.0,14.0,4.0,0.0,1.0,1.0,1.0,90.0,21.0,6.9,10.0,6.9,6.8,0.144,12499255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886243,Sebastian Walukiewicz,D,4,2793,home,False,False,32.0,23.0,5.0,3.0,0.0,,,,90.0,49.0,7.0,14.0,7.0,6.8,,12499255,2.0,,3.0,8.0,2.0,,,,6.0,1.0,,,4.0,,0.0174449,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
840414,Ardian Ismajli,D,34,2696,home,False,True,33.0,22.0,3.0,1.0,0.0,,,,90.0,45.0,7.3,13.0,7.3,7.1,,12499255,,,4.0,6.0,6.0,,,,5.0,2.0,,,2.0,0.0127,,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
1009268,Mattia Viti,D,21,2693,home,False,False,31.0,23.0,8.0,3.0,0.0,,,,90.0,43.0,7.3,9.0,7.3,7.2,,12499255,,,2.0,2.0,7.0,,,,3.0,,,4.0,,0.0468,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
